#,Listings,"Marka (obecna)","Marka EU","Model (obecny)","Model EU — do `serie` (filtr/URL)","Model EU — pełna nazwa (do title/SEO)","Alias EU (w tytule)","Slug URL huba","Tytuł preview","EU market?",Typ,Uwagi,STATUS
103,4,212,"Beijing 212","212 T01",T01,"Beijing 212 T01",,/samochody/beijing-212/t01/,"Beijing 212 T01 2025",?,,"do potwierdzenia (fallback) | MARKA: klasyczny off-roader BAIC, CN-only",
6,32,BYD,BYD,"Tang DM","Tang DM-i","BYD Tang",,/samochody/byd/tang-dm-i/,"BYD Tang DM-i 2025",Y,"SUV 7-os",,
17,20,BYD,BYD,"Song L EV","Song L EV","BYD Song L EV",,/samochody/byd/sealion-5-ev/,"BYD Sealion 5 EV 2025",?,SUV,"do potwierdzenia EU name",
19,19,BYD,BYD,"Han DM","Han DM-i","BYD Han",,/samochody/byd/han-dm-i/,"BYD Han DM-i 2025",N,sedan,CN-only,
22,17,BYD,BYD,"Seal 06 DM","Seal 6 DM-i","BYD Seal 6 DM-i",,/samochody/byd/seal-06-dm-i/,"BYD Seal 06 DM-i 2025",?,sedan,"do potwierdzenia",
26,14,BYD,BYD,"Song L DM","Song L DM-i","BYD Song L",,/samochody/byd/sealion-5-dm-i/,"BYD Sealion 5 DM-i 2025",?,SUV,"do potwierdzenia",
29,13,BYD,BYD,"Song Pro DM","Song Pro DM-i","BYD Song Pro",,/samochody/byd/song-pro-dm-i/,"BYD Song Pro DM-i 2025",N,SUV,CN-focus,
35,12,Fangchengbao,BYD,"Tai 3","Leopard 3 (Tai 3) FCB","Leopard 3",,/samochody/byd/tai-3/,"BYD Tai 3 2025",?,"SUV mini EV","MARKA: scalone do BYD; linia Leopard + Tai zachowana w serie",
37,11,BYD,BYD,"Haishi 07 EV","Sealion 7","BYD Sealion 7",,/samochody/byd/sealion-7/,"BYD Sealion 7 2025",Y,SUV,"Haishi 07 = Sealion 7 w EU",
38,11,BYD,BYD,"Yuan UP","Atto 2","BYD Atto 2",,/samochody/byd/atto-2/,"BYD Atto 2 2025",Y,"SUV mini","Yuan UP = Atto 2 w EU",
44,10,BYD,BYD,"Qin L DM","Qin L DM-i","BYD Qin L",,/samochody/byd/qin-l-dm-i/,"BYD Qin L DM-i 2025",N,sedan,CN-only,
50,9,BYD,BYD,"Han EV","Han EV","BYD Han EV",,/samochody/byd/han-ev/,"BYD Han EV 2025",Y,sedan,,
51,9,BYD,BYD,"Song PLUS DM","Seal U DM-I (Song Plus)","BYD Seal U DM-i",,/samochody/byd/seal-u-dm-i/,"BYD Seal U DM-i 2025",Y,SUV,"Song Plus = Seal U w EU",
52,9,BYD,BYD,"Tang L DM","SeaLion 8 DM-I (Tang L)","BYD SeaLion 8",,/samochody/byd/tang-l-dm-i/,"BYD Tang L DM-i 2025",?,"SUV 7-os",,
53,9,Fangchengbao,BYD,"Tai 7 PHEV","Leopard 7 (Tai 7) FCB, PHEV","BYD Leopard 7 PHEV",,/samochody/byd/tai-7-phev/,"BYD Tai 7 PHEV 2025",?,"SUV PHEV","MARKA: scalone do BYD; linia Leopard + Tai zachowana w serie",
74,6,BYD,BYD,"Han L EV","Han L EV","BYD Han L EV",,/samochody/byd/han-l-ev/,"BYD Han L EV 2025",N,"sedan flagship","CN-only LWB",
75,6,BYD,BYD,"Sea Lion 07DM","Sea Lion 7 DM","BYD Sea Lion 7 DM",,/samochody/byd/sea-lion-07dm/,"BYD Sea Lion 07DM 2025",?,,"do potwierdzenia (fallback)",
87,5,BYD,BYD,"Sea Lion 06EV","Sea Lion 6 EV","BYD Sea Lion 6",,/samochody/byd/sea-lion-06ev/,"BYD Sea Lion 06EV 2025",?,,"do potwierdzenia (fallback)",
88,5,BYD,BYD,"Song PLUS EV","Song PLUS EV","BYD Song PLUS EV",,/samochody/byd/song-plus-ev/,"BYD Song PLUS EV 2025",?,,"do potwierdzenia (fallback)",
89,5,BYD,BYD,Xia,"Xia Summer","BYD Xia",,/samochody/byd/xia/,"BYD Xia 2025",?,,"do potwierdzenia (fallback)",
104,4,BYD,BYD,"Qin L EV","Qin L EV","BYD Qin L EV",,/samochody/byd/qin-l-ev/,"BYD Qin L EV 2025",?,,"do potwierdzenia (fallback)",
105,4,BYD,BYD,"Seal 07 DM","Seal 7 DM","BYD Seal 7 DM",,/samochody/byd/seal-07-dm/,"BYD Seal 07 DM 2025",?,,"do potwierdzenia (fallback)",
122,3,BYD,BYD,"Haishi 05 EV","SeaLion 5 EV","BYD SeaLion 5",,/samochody/byd/haishi-05-ev/,"BYD Haishi 05 EV 2025",?,,"do potwierdzenia (fallback)",
123,3,BYD,BYD,"Han L DM","Han L DM","BYD Han L",,/samochody/byd/han-l-dm/,"BYD Han L DM 2025",?,,"do potwierdzenia (fallback)",
124,3,BYD,BYD,"Qin PLUS EV","Qin PLUS EV","BYD Qin PLUS",,/samochody/byd/qin-plus-ev/,"BYD Qin PLUS EV 2025",?,,"do potwierdzenia (fallback)",
125,3,BYD,BYD,Seal,Seal,"BYD Seal",,/samochody/byd/seal/,"BYD Seal 2025",Y,sedan,,
126,3,BYD,BYD,"Seal 05 DM","Seal 5 DM","BYD Seal 5",,/samochody/byd/seal-05-dm/,"BYD Seal 05 DM 2025",?,,"do potwierdzenia (fallback)",
127,3,BYD,BYD,"Yuan PLUS","ATTO 3 (Yuan PLUS)","BYD ATTO 3",,/samochody/byd/yuan-plus/,"BYD Yuan PLUS 2025",?,,"do potwierdzenia (fallback)",
132,3,Fangchengbao,BYD,"Leopard 5","Leopard 5 (Denza B5)","BYD Leopard 5, Denza B5",,/samochody/byd/leopard-5/,"BYD Leopard 5 2025",?,"SUV off-road PHEV","MARKA: scalone do BYD; linia Leopard + Tai zachowana w serie",
149,2,BYD,BYD,Dolphin,Dolphin,"BYD Dolphin",,/samochody/byd/dolphin/,"BYD Dolphin 2025",Y,hatchback,,
150,2,BYD,BYD,"Haishi 05 DM","SeaLion 5 DM","BYD SeaLion 5",,/samochody/byd/haishi-05-dm/,"BYD Haishi 05 DM 2025",?,,"do potwierdzenia (fallback)",
151,2,BYD,BYD,"Haishi 06 DM","SeaLion 6 DM","BYD SeaLion 6",,/samochody/byd/haishi-06-dm/,"BYD Haishi 06 DM 2025",?,,"do potwierdzenia (fallback)",
152,2,BYD,BYD,"Qin PLUS DM","Qin Plus DM-i","BYD Qin Plus DM-i",,/samochody/byd/qin-plus-dm-i/,"BYD Qin Plus DM-i 2025",N,sedan,,
153,2,BYD,BYD,"Seal 06 EV","Seal 6 EV","BYD Seal 6",,/samochody/byd/seal-06-ev/,"BYD Seal 06 EV 2025",?,,"do potwierdzenia (fallback)",
154,2,BYD,BYD,"Seal 06 GT","Seal 06 GT","BYD Seal 06 GT",,/samochody/byd/seal-06-gt/,"BYD Seal 06 GT 2025",?,,"do potwierdzenia (fallback)",
170,2,Fangchengbao,BYD,"Leopard 8","Leopard 8  (Denza B8)","BYD Leopard 8, Denza B8",,/samochody/byd/leopard-8/,"BYD Leopard 8 2025",?,"SUV off-road PHEV","MARKA: scalone do BYD; linia Leopard + Tai zachowana w serie",
205,1,BYD,BYD,"Seal 06 DM Wagon","Seal 6 DM Wagon","BYD Seal 6 Kombi",,/samochody/byd/seal-06-dm-wagon/,"BYD Seal 06 DM Wagon 2025",?,,"do potwierdzenia (fallback)",
206,1,BYD,BYD,"Seal DM","Seal DM","BYD Seal DM",,/samochody/byd/seal-dm/,"BYD Seal DM 2025",?,,"do potwierdzenia (fallback)",
207,1,BYD,BYD,"Tang L EV","SeaLion 8 (Tang L) EV","BYD SeaLion 8 EV",,/samochody/byd/tang-l-ev/,"BYD Tang L EV 2025",?,,"do potwierdzenia (fallback)",
265,1,Yangwang,BYD,"Yangwang U7 PHEV","Yangwang U7","BYD Yangwang U7",,/samochody/byd/yangwang-u7/,"BYD Yangwang U7 2025",?,"sedan flagship PHEV","MARKA: scalone do BYD; nazwa Yangwang zachowana w serie",
14,24,Changan,Changan,"Changan UNI-V",UNI-V,"Changan UNI-V",,/samochody/changan/uni-v/,"Changan UNI-V 2025",Y,"sedan coupe","MARKA: debiut EU 2024+",
33,12,Changan,Changan,"Changan CS75 PLUS","CS75 Plus","Changan CS75 Plus",,/samochody/changan/cs75-plus/,"Changan CS75 Plus 2025",Y,SUV,"MARKA: debiut EU 2024+",
106,4,Changan,Changan,"Changan UNI-Z",UNI-Z,"Changan UNI-Z",,/samochody/changan/uni-z/,"Changan UNI-Z 2025",?,,"do potwierdzenia (fallback) | MARKA: debiut EU 2024+",
128,3,Changan,Changan,"Changan UNI-Z PHEV","UNI-Z PHEV","Changan UNI-Z PHEV",,/samochody/changan/uni-z-phev/,"Changan UNI-Z PHEV 2025",?,,"do potwierdzenia (fallback) | MARKA: debiut EU 2024+",
129,3,Changan,Changan,"Changan X7 PLUS","X7 PLUS","Changan X7 PLUS",,/samochody/changan/x7-plus/,"Changan X7 PLUS 2025",?,,"do potwierdzenia (fallback) | MARKA: debiut EU 2024+",
156,2,Changan,Changan,"Changan CS55 PLUS","CS55 Plus","Changan CS55 Plus",,/samochody/changan/cs55-plus/,"Changan CS55 Plus 2025",Y,SUV,"MARKA: debiut EU 2024+",
157,2,Changan,Changan,Eado,Eado,"Changan Eado",,/samochody/changan/eado/,"Changan Eado 2025",?,,"do potwierdzenia (fallback) | MARKA: debiut EU 2024+",
158,2,Changan,Changan,"Eado PHEV","Eado PHEV","Changan Eado PHEV",,/samochody/changan/eado-phev/,"Changan Eado PHEV 2025",?,,"do potwierdzenia (fallback) | MARKA: debiut EU 2024+",
210,1,Changan,Changan,"Changan UNI-V iDD","UNI-V iDD","Changan UNI-V iDD",,/samochody/changan/uni-v-idd/,"Changan UNI-V iDD 2025",?,,"do potwierdzenia (fallback) | MARKA: debiut EU 2024+",
211,1,Changan,Changan,"长安CS55 PLUS PHEV","CS55 Plus PHEV","Changan CS55 Plus PHEV",,/samochody/changan/cs55-plus-phev/,"Changan CS55 Plus PHEV 2025",?,SUV,"translit z CN | MARKA: debiut EU 2024+",
11,27,Chery,Chery,"Arrizo 8","Arrizo 8","Chery Arrizo 8",,/samochody/chery/arrizo-8/,"Chery Arrizo 8 2025",?,sedan,"w EU raczej Omoda/Jaecoo | MARKA: w EU także sub-brandy Omoda/Jaecoo",
60,8,Chery,Chery,"Tiggo 8 PRO","Tiggo 8 Pro","Chery Tiggo 8 Pro",,/samochody/chery/tiggo-8-pro/,"Chery Tiggo 8 Pro 2025",Y,"SUV 7-os","MARKA: w EU także sub-brandy Omoda/Jaecoo",
76,6,Chery,Chery,"Arrizo 8 PRO","Arrizo 8 Pro","Chery Arrizo 8 Pro",,/samochody/chery/arrizo-8-pro/,"Chery Arrizo 8 Pro 2025",?,sedan,"MARKA: w EU także sub-brandy Omoda/Jaecoo",
90,5,Chery,Chery,"Tiggo 9","Tiggo 9","Chery Tiggo 9",,/samochody/chery/tiggo-9/,"Chery Tiggo 9 2025",Y,"SUV 7-os","MARKA: w EU także sub-brandy Omoda/Jaecoo",
130,3,Chery,Chery,"Tiggo 8 PLUS","Tiggo 8 PLUS","Chery Tiggo 8 PLUS",,/samochody/chery/tiggo-8-plus/,"Chery Tiggo 8 PLUS 2025",?,,"do potwierdzenia (fallback) | MARKA: w EU także sub-brandy Omoda/Jaecoo",
160,2,Chery,Chery,"Tiggo 8 PLUS C-DM","Tiggo 8 PLUS C-DM","Chery Tiggo 8 PLUS C-DM",,/samochody/chery/tiggo-8-plus-c-dm/,"Chery Tiggo 8 PLUS C-DM 2025",?,,"do potwierdzenia (fallback) | MARKA: w EU także sub-brandy Omoda/Jaecoo",
161,2,Chery,Chery,"Tiggo 8L","Tiggo 9 (Tiggo 8L)","Chery Tiggo 9",,/samochody/chery/tiggo-8l/,"Chery Tiggo 8L 2025",?,,"do potwierdzenia (fallback) | MARKA: w EU także sub-brandy Omoda/Jaecoo",
162,2,Chery,Chery,"Tiggo 9 C-DM","Tiggo 9 C-DM","Chery Tiggo 9 C-DM",,/samochody/chery/tiggo-9-c-dm/,"Chery Tiggo 9 C-DM 2025",?,,"do potwierdzenia (fallback) | MARKA: w EU także sub-brandy Omoda/Jaecoo",
212,1,Chery,Chery,"Tiggo 7","Tiggo 7","Chery Tiggo 7",,/samochody/chery/tiggo-7/,"Chery Tiggo 7 2025",?,,"do potwierdzenia (fallback) | MARKA: w EU także sub-brandy Omoda/Jaecoo",
213,1,Chery,Chery,"Tiggo 7 C-DM","Tiggo 7 C-DM","Chery Tiggo 7 C-DM",,/samochody/chery/tiggo-7-c-dm/,"Chery Tiggo 7 C-DM 2025",?,,"do potwierdzenia (fallback) | MARKA: w EU także sub-brandy Omoda/Jaecoo",
214,1,Chery,Chery,"Tiggo 8","Tiggo 8","Chery Tiggo 8",,/samochody/chery/tiggo-8/,"Chery Tiggo 8 2025",Y,"SUV 7-os","MARKA: w EU także sub-brandy Omoda/Jaecoo",
61,8,"Chery Fengyun","Chery Fulwin","Fengyun A9L",A9L,"Chery Fulwin A9L",,/samochody/chery-fengyun/a9l/,"Chery Fengyun A9L 2025",N,"sedan PHEV","CN-only | MARKA: PHEV sub-brand Chery",
163,2,"Chery Fengyun","Chery Fulwin","Fengyun T8",T8,"Chery Fulwin T8",,/samochody/chery-fengyun/t8/,"Chery Fengyun T8 2025",?,,"do potwierdzenia (fallback) | MARKA: PHEV sub-brand Chery",
164,2,"Chery Fengyun","Chery Fulwin","Fengyun T9",T9,"Chery Fulwin T9",,/samochody/chery-fengyun/t9/,"Chery Fengyun T9 2025",?,,"do potwierdzenia (fallback) | MARKA: PHEV sub-brand Chery",
165,2,"Chery Fengyun","Chery Fulwin",T11,T11,"Chery Fulwin T11",,/samochody/chery-fengyun/t11/,"Chery Fengyun T11 2025",?,,"do potwierdzenia (fallback) | MARKA: PHEV sub-brand Chery",
215,1,"Chery Fengyun","Chery Fulwin","Fengyun A8",A8,"Chery Fulwin A8",,/samochody/chery-fengyun/a8/,"Chery Fengyun A8 2025",?,,"do potwierdzenia (fallback) | MARKA: PHEV sub-brand Chery",
216,1,"Chery Fengyun","Chery Fulwin","Fengyun A8L",A8L,"Chery Fulwin A8L",,/samochody/chery-fengyun/a8l/,"Chery Fengyun A8L 2025",N,"sedan PHEV","MARKA: PHEV sub-brand Chery",
217,1,"Chery Fengyun","Chery Fulwin","Fengyun X3 PLUS","X3 PLUS","Chery Fulwin X3 PLUS",,/samochody/chery-fengyun/x3-plus/,"Chery Fengyun X3 PLUS 2025",?,,"do potwierdzenia (fallback) | MARKA: PHEV sub-brand Chery",
218,1,"Chery Fengyun","Chery Fulwin",风云X3L,X3L,"Chery Fulwin X3L",,/samochody/chery-fengyun/x3l/,"Chery Fengyun X3L 2025",N,"SUV PHEV","translit z CN | MARKA: PHEV sub-brand Chery",
91,5,Deepal,Deepal,"Deepal L07",L07,"Deepal L07",,/samochody/deepal/l07/,"Deepal L07 2025",Y,sedan,"MARKA: Changan EV sub-brand, EU 2024+",
92,5,Deepal,Deepal,"Deepal S07",S07,"Deepal S07",,/samochody/deepal/s07/,"Deepal S07 2025",Y,SUV,"MARKA: Changan EV sub-brand, EU 2024+",
108,4,Deepal,Deepal,"Deepal SL03",SL03,"Deepal SL03",,/samochody/deepal/sl03/,"Deepal SL03 2025",?,,"do potwierdzenia (fallback) | MARKA: Changan EV sub-brand, EU 2024+",
131,3,Deepal,Deepal,"Deepal S05",S05,"Deepal S05",,/samochody/deepal/s05/,"Deepal S05 2025",?,SUV,"MARKA: Changan EV sub-brand, EU 2024+",
166,2,Deepal,Deepal,"Deepal G318",G318,"Deepal G318",,/samochody/deepal/g318/,"Deepal G318 2025",?,"off-road SUV","MARKA: Changan EV sub-brand, EU 2024+",
167,2,Deepal,Deepal,"Deepal S09",S09,"Deepal S09",,/samochody/deepal/s09/,"Deepal S09 2025",?,,"do potwierdzenia (fallback) | MARKA: Changan EV sub-brand, EU 2024+",
15,24,Denza,Denza,"Denza D9 DM","D9 DM-i","Denza D9 DM-i",,/samochody/denza/d9-dm-i/,"Denza D9 DM-i 2025",Y,MPV,"MARKA: BYD-Mercedes JV",
34,12,Denza,Denza,"Denza Z9 DM","Z9 DM-i","Denza Z9 DM-i",,/samochody/denza/z9-dm-i/,"Denza Z9 DM-i 2025",?,"shooting brake","MARKA: BYD-Mercedes JV",
62,8,Denza,Denza,"Denza N9 DM","N9 DM-i","Denza N9 DM-i",,/samochody/denza/n9-dm-i/,"Denza N9 DM-i 2025",?,SUV,"MARKA: BYD-Mercedes JV",
63,8,Denza,Denza,"Denza Z9 GT DM","Z9 GT DM-i","Denza Z9 GT DM-i",,/samochody/denza/z9-gt-dm-i/,"Denza Z9 GT DM-i 2025",?,"shooting brake","MARKA: BYD-Mercedes JV",
168,2,Denza,Denza,"Denza N7",N7,"Denza N7",,/samochody/denza/n7/,"Denza N7 2025",?,,"do potwierdzenia (fallback) | MARKA: BYD-Mercedes JV",
219,1,Denza,Denza,"Denza D9 EV","D9 EV","Denza D9 EV",,/samochody/denza/d9-ev/,"Denza D9 EV 2025",?,,"do potwierdzenia (fallback) | MARKA: BYD-Mercedes JV",
220,1,Denza,Denza,"Denza N8L DM","N8L DM","Denza N8L DM",,/samochody/denza/n8l-dm/,"Denza N8L DM 2025",?,,"do potwierdzenia (fallback) | MARKA: BYD-Mercedes JV",
221,1,Denza,Denza,"Denza Z9 GT EV","Z9 GT EV","Denza Z9 GT EV",,/samochody/denza/z9-gt-ev/,"Denza Z9 GT EV 2025",?,,"do potwierdzenia (fallback) | MARKA: BYD-Mercedes JV",
222,1,Denza,Denza,"N8L DM",N8L,"Denza N8L",,/samochody/denza/n8l-dm/,"Denza N8L DM 2025",?,,"do potwierdzenia (fallback) | MARKA: BYD-Mercedes JV",
223,1,"Dongfeng Fengxing",Dongfeng,"Xinghai V9","Forting U-Tour V9","Dongfeng Forting U-Tour V9",,/samochody/dongfeng-fengxing/xinghai-v9/,"Dongfeng Fengxing Xinghai V9 2025",?,,"do potwierdzenia (fallback) | MARKA: do potwierdzenia (marka nie zmapowana)",
169,2,"Dongfeng Yipai",Dongfeng,eπ008,eπ008,"Dongfeng eπ008",,/samochody/dongfeng-yipai/e-008/,"Dongfeng Yipai eπ008 2025",?,,"do potwierdzenia (fallback) | MARKA: sub-brand Dongfeng",
70,7,Exeed,Exlantix,"Exlantix ET",ET,"Exeed Exlantix ET",,/samochody/exeed/exlantix-et/,"Exeed Exlantix ET 2025",?,"sedan EV","premium sedan EV, bez EU odpowiednika | MARKA: niszowa premium CN Chery; TYLKO Yaoguang/RX rebrand→Omoda 9 (per-model override)",
224,1,Exeed,Exeed,"Exeed Lingyun",TXL,"Exeed TXL Lingyun",,/samochody/exeed/lingyun/,"Exeed Lingyun 2025",?,SUV,"MARKA: niszowa premium CN Chery; TYLKO Yaoguang/RX rebrand→Omoda 9 (per-model override)",
225,1,Exeed,Exeed,"Exeed Yaoguang C-DM",RX,"Exeed RX (Omoda 9 SHS)","Omoda 9 SHS",/samochody/exeed/rx/,"Exeed RX (Omoda 9 SHS) 2025",Y,"SUV flagship PHEV","Yaoguang C-DM PHEV 537 KM | MARKA: niszowa premium CN Chery; TYLKO Yaoguang/RX rebrand→Omoda 9 (per-model override)",
226,1,Exeed,Exeed,星途ET5,ET5,"Exeed ET5",,/samochody/exeed/et5/,"Exeed ET5 2025",?,sedan,"translit Xingtu ET5 | MARKA: niszowa premium CN Chery; TYLKO Yaoguang/RX rebrand→Omoda 9 (per-model override)",
16,21,"GAC Trumpchi",GAC,"Trumpchi M8",M8,"GAC M8",,/samochody/gac/m8/,"GAC M8 2025",?,MPV,"MARKA: Trumpchi = CN name; w EU GAC",
54,9,"GAC Trumpchi",GAC,Empow,Empow,"GAC Empow",,/samochody/gac/empow/,"GAC Empow 2025",?,sedan,"MARKA: Trumpchi = CN name; w EU GAC",
93,5,"GAC Trumpchi",GAC,"Trumpchi GS8",GS8,"GAC GS8",,/samochody/gac/gs8/,"GAC GS8 2025",?,SUV,"MARKA: Trumpchi = CN name; w EU GAC",
133,3,"GAC Trumpchi",GAC,"Trumpchi GS4",GS4,"GAC GS4",,/samochody/gac/gs4/,"GAC GS4 2025",?,SUV,"MARKA: Trumpchi = CN name; w EU GAC",
172,2,"GAC Trumpchi",GAC,"Trumpchi E8","Trumpchi E8","GAC Trumpchi E8",,/samochody/gac/trumpchi-e8/,"GAC Trumpchi E8 2025",?,,"do potwierdzenia (fallback) | MARKA: Trumpchi = CN name; w EU GAC",
173,2,"GAC Trumpchi",GAC,"Trumpchi Xiangwang M8","Trumpchi M8","GAC Trumpchi Xiangwang M8",,/samochody/gac/trumpchi-xiangwang-m8/,"GAC Trumpchi Xiangwang M8 2025",?,,"do potwierdzenia (fallback) | MARKA: Trumpchi = CN name; w EU GAC",
174,2,"GAC Trumpchi",GAC,"Trumpchi Xiangwang S7","Trumpchi S7","GAC Trumpchi Xiangwang S7",,/samochody/gac/trumpchi-xiangwang-s7/,"GAC Trumpchi Xiangwang S7 2025",?,,"do potwierdzenia (fallback) | MARKA: Trumpchi = CN name; w EU GAC",
227,1,"GAC Trumpchi",GAC,"Trumpchi E8 PHEV","Trumpchi E8 PHEV","GAC Trumpchi E8 PHEV",,/samochody/gac/trumpchi-e8-phev/,"GAC Trumpchi E8 PHEV 2025",?,,"do potwierdzenia (fallback) | MARKA: Trumpchi = CN name; w EU GAC",
228,1,"GAC Trumpchi",GAC,"Trumpchi ES9 PHEV","Trumpchi ES9 PHEV","GAC Trumpchi ES9 PHEV",,/samochody/gac/trumpchi-es9-phev/,"GAC Trumpchi ES9 PHEV 2025",?,,"do potwierdzenia (fallback) | MARKA: Trumpchi = CN name; w EU GAC",
171,2,"GAC Aion Hyper","GAC Aion Hypec","Hyptec HT",HT,"GAC Aion Hyptec HT",,/samochody/gac-aion-hyper/ht/,"GAC Aion Hyper HT 2025",?,,"do potwierdzenia (fallback) | MARKA: GAC EV premium line",
5,39,Geely,Geely,"Xingyue L",Monjaro,"Geely Monjaro",,/samochody/geely/monjaro/,"Geely Monjaro 2025",Y,SUV,"Xingyue L = Monjaro w EU (user confirmed) | MARKA: niektóre modele mają EU-names (Monjaro, Preface)",
7,31,Geely,Geely,Xingrui,Preface,"Geely Preface",,/samochody/geely/preface/,"Geely Preface 2025",Y,sedan,"Xingrui = Preface w EU | MARKA: niektóre modele mają EU-names (Monjaro, Preface)",
30,13,Galaxy,Geely,"Galaxy Xingyao 8 PHEV","Galaxy Starship 8 PHEV","Geely Galaxy Starship 8 PHEV",,/samochody/geely/galaxy-starship-8-phev/,"Geely Galaxy Starship 8 PHEV 2025",?,"sedan PHEV","Xingyao 8 = Starship 8 | MARKA: scalone do Geely; nazwa Galaxy zachowana w serie",
45,10,Galaxy,Geely,"Galaxy L7","Galaxy L7","Geely Galaxy L7",,/samochody/geely/galaxy-l7/,"Geely Galaxy L7 2025",?,"SUV PHEV","MARKA: scalone do Geely; nazwa Galaxy zachowana w serie",
64,8,Galaxy,Geely,"Galaxy Starship 7 EM-i","Galaxy Starship 7 EM-i","Geely Galaxy Starship 7 EM-i",,/samochody/geely/galaxy-starship-7-em-i/,"Geely Galaxy Starship 7 EM-i 2025",?,"SUV PHEV","MARKA: scalone do Geely; nazwa Galaxy zachowana w serie",
77,6,Galaxy,Geely,"银河A7 PHEV","Galaxy A7 PHEV","Geely Galaxy A7 PHEV",,/samochody/geely/galaxy-a7-phev/,"Geely Galaxy A7 PHEV 2025",?,"sedan PHEV","translit z CN | MARKA: scalone do Geely; nazwa Galaxy zachowana w serie",
78,6,Geely,Geely,"Boyue L","Atlas Pro","Geely Atlas Pro",,/samochody/geely/atlas-pro/,"Geely Atlas Pro 2025",?,SUV,"do potwierdzenia: Boyue L → Atlas Pro? | MARKA: niektóre modele mają EU-names (Monjaro, Preface)",
109,4,Galaxy,Geely,"Galaxy E8","Galaxy E8","Geely Galaxy E8",,/samochody/geely/galaxy-e8/,"Geely Galaxy E8 2025",?,"sedan EV","MARKA: scalone do Geely; nazwa Galaxy zachowana w serie",
110,4,Galaxy,Geely,Xingyuan,EX2,"Geely Galaxy EX2",,/samochody/geely/xingyuan/,"Geely Xingyuan 2025",?,,"do potwierdzenia (fallback) | MARKA: scalone do Geely; nazwa Galaxy zachowana w serie",
134,3,Galaxy,Geely,"Galaxy L6","Galaxy L6","Geely Galaxy L6",,/samochody/geely/galaxy-l6/,"Geely Galaxy L6 2025",?,,"do potwierdzenia (fallback) | MARKA: scalone do Geely; nazwa Galaxy zachowana w serie",
135,3,Geely,Geely,"Haoyue L","Haoyue L","Geely Haoyue L",,/samochody/geely/haoyue-l/,"Geely Haoyue L 2025",?,,"do potwierdzenia (fallback) | MARKA: niektóre modele mają EU-names (Monjaro, Preface)",
175,2,Galaxy,Geely,"Galaxy A7 PHEV","Galaxy A7 PHEV","Geely Galaxy A7 PHEV",,/samochody/geely/galaxy-a7-phev/,"Geely Galaxy A7 PHEV 2025",?,,"do potwierdzenia (fallback) | MARKA: scalone do Geely; nazwa Galaxy zachowana w serie",
